Country,PEP,Total Death,GDP,Population,Days with Death,Months with Death,Death per month,PDPM,LOG(GDP),1/GDP
Albania,13.188,3049,11803.431,2872934,622,20.06451613,151.9598071,0.005289359,4.072008266,8.47211E-05
Algeria,6.211,6026,13913.839,44616626,621,20.03225806,300.8148148,0.000674221,4.143446974,7.18709E-05
Argentina,11.198,116382,18933.907,45605823,625,20.16129032,5772.5472,0.012657478,4.27724024,5.28153E-05
Armenia,11.232,7308,8787.58,2968128,607,19.58064516,373.2257002,0.012574448,3.943869292,0.000113797
Australia,15.504,1968,44648.71,25788217,632,20.38709677,96.53164557,0.000374325,4.649808916,2.23971E-05
Austria,19.202,12042,45436.686,9043072,621,20.03225806,601.1304348,0.006647414,4.657406648,2.20086E-05
Azerbaijan,6.018,7657,15847.419,10223344,620,20,382.85,0.003744861,4.199958541,6.31018E-05
Bahamas,8.996,671,27717.847,396914,601,19.38709677,34.61064892,0.008719937,4.442759493,3.60778E-05
Bahrain,2.372,1394,43290.705,1748295,617,19.90322581,70.03889789,0.004006126,4.636394658,2.30996E-05
Belarus,14.799,4965,17167.967,9442867,602,19.41935484,255.6727575,0.002707576,4.23471887,5.8248E-05
Belgium,18.571,26669,42658.576,11632334,622,20.06451613,1329.162379,0.011426446,4.630006354,2.34419E-05
Bolivia,6.704,19080,6885.829,11832936,604,19.48387097,979.2715232,0.008275812,3.837956233,0.000145226
Bosnia and Herzegovina,16.569,12309,11713.895,3263459,612,19.74193548,623.495098,0.019105345,4.068701327,8.53687E-05
Botswana,3.941,2416,15807.374,2397240,602,19.41935484,124.4119601,0.0051898,4.198859729,6.32616E-05
Brazil,8.552,612782,14103.452,213993441,616,19.87096774,30838.05519,0.014410748,4.149325425,7.09046E-05
Brunei,4.591,96,71809.251,441532,605,19.51612903,4.919008264,0.001114077,4.856180397,1.39258E-05
Bulgaria,20.801,27507,18563.307,6896655,622,20.06451613,1370.927653,0.019878153,4.268655347,5.38697E-05
Canada,16.984,29579,44017.591,38067913,624,20.12903226,1469.469551,0.003860126,4.643626271,2.27182E-05
Cape Verde,4.46,350,6222.554,561901,609,19.64516129,17.81609195,0.003170682,3.793968674,0.000160706
Chile,11.087,38149,22767.037,19212362,611,19.70967742,1935.546645,0.010074486,4.357306513,4.39232E-05
China,10.641,4619,15308.712,1444216102,670,21.61290323,213.7149254,1.4798E-05,4.184938653,6.53223E-05
Colombia,7.646,128138,13254.949,51265841,611,19.70967742,6501.273322,0.012681492,4.122378061,7.54435E-05
Costa Rica,9.468,7264,15524.995,5139053,614,19.80645161,366.7491857,0.007136513,4.191031469,6.44123E-05
Croatia,19.724,10376,22669.797,4081657,614,19.80645161,523.8697068,0.012834731,4.355447631,4.41116E-05
Cyprus,13.416,591,32415.132,896005,608,19.61290323,30.13322368,0.003363064,4.510747794,3.08498E-05
Czechia,19.027,32304,32605.906,10724553,611,19.70967742,1638.991817,0.015282612,4.513296272,3.06693E-05
Denmark,19.677,2828,46682.515,5813302,619,19.96774194,141.628433,0.002436282,4.669154245,2.14213E-05
Dominican Republic,6.981,4190,14600.861,10953714,616,19.87096774,210.8603896,0.001925013,4.164378467,6.84891E-05
Ecuador,7.104,20487,10581.936,17888474,619,19.96774194,1026.004847,0.005735564,4.024565131,9.45007E-05
Egypt,5.159,19991,10550.206,104258327,625,20.16129032,991.5536,0.000951055,4.02326094,9.47849E-05
El Salvador,8.273,3756,7292.458,6518500,602,19.41935484,193.4152824,0.002967175,3.862873937,0.000137128
Estonia,19.452,1746,29481.252,1325188,608,19.61290323,89.02302632,0.006717766,4.469545923,3.39199E-05
Finland,21.228,1258,40585.721,5548361,612,19.74193548,63.72222222,0.001148487,4.608373266,2.46392E-05
France,19.718,119424,38605.671,67564251,647,20.87096774,5722.015456,0.008468999,4.586651105,2.59029E-05
Gabon,4.45,274,16562.413,2278829,613,19.77419355,13.85644372,0.000608051,4.21912361,6.03777E-05
Germany,21.453,99437,45229.245,83900471,624,20.12903226,4939.979167,0.005887904,4.655419338,2.21096E-05
Greece,20.396,17425,24574.382,10370747,622,20.06451613,868.4485531,0.008374021,4.390482605,4.06928E-05
Guatemala,4.694,15849,7423.808,18249868,617,19.90322581,796.3030794,0.004363336,3.870626731,0.000134702
Guyana,5.305,977,7435.047,790329,621,20.03225806,48.77133655,0.006171017,3.871283718,0.000134498
Honduras,4.652,10393,4541.795,10062994,607,19.58064516,530.7792422,0.005274566,3.657227528,0.000220177
Hong Kong,16.303,213,56054.92,7552800,658,21.22580645,10.03495441,0.000132864,4.748613737,1.78396E-05
Hungary,18.577,33172,26777.561,9634162,618,19.93548387,1663.967638,0.017271535,4.427771017,3.73447E-05
Iceland,14.431,34,46482.958,343360,612,19.74193548,1.722222222,0.000501579,4.667293757,2.15133E-05
Indonesia,5.319,143744,11188.744,276361788,622,20.06451613,7164.090032,0.002592287,4.048781337,8.93755E-05
Iran,5.44,129053,19082.62,85028760,643,20.74193548,6221.839813,0.007317336,4.280638002,5.24037E-05
Iraq,3.186,23686,15663.986,41179351,629,20.29032258,1167.354531,0.002834806,4.194902286,6.38407E-05
Ireland,13.928,5609,67335.293,4982904,622,20.06451613,279.5482315,0.005610147,4.828242754,1.48511E-05
Israel,11.733,8177,33132.32,9291000,613,19.77419355,413.5187602,0.004450745,4.520251847,3.0182E-05
Italy,23.021,133247,35220.084,60367471,641,20.67741935,6444.082683,0.01067476,4.546790387,2.83929E-05
Jamaica,9.684,2359,8193.571,2973462,614,19.80645161,119.1026059,0.00400552,3.913473221,0.000122047
Jordan,3.81,11377,8337.49,10269022,606,19.5483871,581.9917492,0.005667451,3.921035326,0.00011994
Kazakhstan,6.991,17681,24055.588,18994958,606,19.5483871,904.4735974,0.004761651,4.381215977,4.15704E-05
Lebanon,8.514,8645,13367.565,6769151,623,20.09677419,430.1685393,0.006354837,4.126052305,7.48079E-05
Libya,4.424,5390,17881.509,6958538,600,19.35483871,278.4833333,0.004002038,4.252404166,5.59237E-05
