location,max_vacc,Freedom of Press,Internet
Afghanistan,8,40.19,#N/A
Africa,6.97,#N/A,#N/A
Albania,32.82,30.59,72.23767711
Algeria,11.05,47.26,57.5
Andorra,64.04,23.32,#N/A
Angola,7.82,34.06,36
Anguilla,60.56,#N/A,#N/A
Antigua and Barbuda,55.4,#N/A,#N/A
Argentina,62.5,28.99,#N/A
Armenia,12.53,28.83,66.54394969
Aruba,72.53,#N/A,#N/A
Asia,46.9,#N/A,#N/A
Australia,71.39,19.79,#N/A
Austria,64.58,16.34,87.52942813
Azerbaijan,44.26,58.77,81.09999907
Bahamas,33.88,#N/A,#N/A
Bahrain,66.01,61.1,99.53951246
Bangladesh,20.44,49.71,12.9
Barbados,46.76,#N/A,#N/A
Belarus,25.69,50.82,85.08791245
Belgium,74.44,11.69,91.52423735
Belize,47.12,27.61,#N/A
Benin,2.39,38.18,29
Bermuda,76.28,#N/A,#N/A
Bhutan,71.78,28.86,#N/A
Bolivia,33.37,35.47,55.13905053
Bonaire Sint Eustatius and Saba,63.29,#N/A,#N/A
Bosnia and Herzegovina,22.08,28.34,73.21175294
Botswana,17.41,23.25,61
Brazil,60.04,36.25,73.91244005
British Virgin Islands,54.14,#N/A,#N/A
Brunei,74.37,#N/A,#N/A
Bulgaria,15.76,37.29,70.16248359
Burkina Faso,1.38,23.17,18
Cambodia,78.1,46.84,78.80000044
Cameroon,1.85,43.78,33.5
Canada,75.88,15.25,96.5
Cape Verde,42.06,20.09,#N/A
Cayman Islands,83.24,#N/A,#N/A
Central African Republic,6.54,41.92,#N/A
Chad,0.42,40.2,10.4
Chile,82.97,27.89,#N/A
China,74.53,78.72,70.64214286
Colombia,46.16,43.74,65.00690072
Comoros,22.31,30.65,#N/A
Congo,2.24,38.83,#N/A
Cook Islands,66.73,#N/A,#N/A
Costa Rica,58.97,8.76,80.53018608
Cote d'Ivoire,4.35,#N/A,36.28895457
Croatia,46.56,27.95,78.32093274
Cuba,79.97,63.94,67.97080866
Curacao,57.32,#N/A,#N/A
Cyprus,64.67,19.85,90.80209879
Czechia,58.43,#N/A,#N/A
Democratic Republic of Congo,0.05,#N/A,#N/A
Denmark,76.38,8.57,96.54914573
Djibouti,2.6,78.62,59
Dominica,36.78,#N/A,#N/A
Dominican Republic,50.63,25.6,75.8
Ecuador,60.09,32.83,#N/A
Egypt,13.45,56.17,#N/A
El Salvador,61.73,30.49,50.49119319
Equatorial Guinea,13.55,55.67,#N/A
Estonia,58.98,15.25,89.05828666
